sku,st_tip_patrona,st_sverlilniy_patron,st_vstroenniy_pricel,st_raspolozhenie_dvigatelya,st_regulirovka_stola,st_rabota_po_betonu,st_dlina_shini,st_dlina_lezviya,st_elektronnaya_reg_oborotov,zaschita_ot_peregreva,st_vrashen_strog_vala,st_vozmojnost_reza_pod_uglom,st_stancionarnoe_kreplenie,st_plavniy_pusk,st_maxdiam_koron_sverla,st_360_gradusov,st_rabocheye_davleniye,st_rezba_spindelya,st_rashod_vozduha,st_razreshenie_pix,st_dvigatel,st_max_glubina_reza,st_glubina_rezaniya_mm,st_podkluchenie,st_maxskorost_vozduha_kub,st_napravlayushaya_shina,st_predohran_mufta,st_vozmojnost_sbora_zhidkosti,st_podderzhan_post_oborotov,st_ploshad,st_zashita_ot_udara,st_diametr_mm,st_akb_v_komplekte,st_kilichestvo_acum_komplect,st_regulir_glubini_stroganiya,st_maxvrash_moment_myagk,st_diametr_obyektiva,st_sistema_podachi_soj,st_maxrazmer_krepezha,st_maxglubina_propila_45,st_dlina_shini_duym,st_maxtolshina_zagotovki,st_nalichie_udara,st_razmer_cangi,st_maxsila_udara,st_nalichie_reversa,st_dlina_shini_duym,st_maxglubina_propila_90,st_graudirovka_limba,st_gorizontalnoe_peremeshenie,st_maxshirina_lenti,st_napryazheniye_akkumulyatora,st_napryazhenie_v_accum,st_emkost_accumulatora,st_napryazheniye_v,st_vremya_zaryada,st_regulirovka_visoti,st_kreplenie_poloten,st_rabocaya_temperatura,st_nalichie_lazera,st_tip_stanini,st_kolichestvo_tochek_otscheta,st_avtosmativanie_kabela,st_vstroen_patrub_pilesos,st_tip_posadki,st_posad_diametr,st_kolichestvo_nasadok,st_ugol_samoviravnivaniya,st_chislo_hodov_holostoy_hod,st_vremya_raboti_odin_zaryad,st_obyem_syemnogo_backa,st_vibrozashita,st_obyem_baka,st_skorost_rezaniya,st_tip_diska,st_diametr_vsas_shlanga,st_proverka,st_max_chastota_udarov,st_maxglubina_chetverti,st_visota_skashivaniya,st_kilichestvo_acum_komplect,st_chastota_vrashch_shpind,st_dlina_kabelya,st_maxdiam_sverleniya_beton,st_sistema_valikov,st_regulirovka_glubin_reza,st_blokirovka_shpindelya,st_diametr_aspirac_otver,st_tip_pilesbornika,st_glubina_stroganiya,st_diametr_aspirac_otver_mm,st_regulirovka_moshnosti,st_min_izmer_uchastok,st_podkluchenie_pilesosa,st_skorost_dvizheniya_min,st_razmer_rab_stola,st_sposob_raspileniya,st_kolichestvo_luchey,st_viborka_chetverti,st_elektr_regul_chast_vrashen,st_maxglubina_stroganiya,st_nalichie_reversa,st_forma_ruchki,st_rabochaya_temperatura,st_regulirovka_temperaturi,st_maxdiam_sverleniya_kirpich,st_rabota_so_smartfonom,st_klass_lazera,st_tip_nozha,st_dlina_reza,st_cvet,st_blok_spindelya,st_rabochiy_hod_frezi,st_dlina_zonda,st_podsvetka,st_naklon_pili,st_tip_reza,st_velichina_hoda,st_maxshirina_obrabotki,st_vibroruchka,st_vremya_nagreva,st_uvelichenie,st_maxshirina_propila_90,st_tormoz_dvigatelya,st_nalichie_semnogo_backa,st_ugol_povorota_tiskov,st_maxdiam_sverleniya_derevo,st_shirina_skashivaniya,st_srednekvadrat_pogreshnost,st_rezhushiy_element,st_klass_pili,st_shag_cepi,st_maxshirina_reza,st_tip_ruchki,st_beskluch_regulerovka_cepi,st_pogreshnost_mm,st_vizir,st_tip,st_maxvrash_moment_zhestk,st_raspil_truba_mm,zaschita_ot_peregreva,st_dalnost_bez_priemnika,st_mayatnikoviy_hod,st_razmer_nozhey,st_ranceviy,st_samohodnaya,st_shirina_obrabotki_sm,st_indikaciya_zapolneniya,st_ustroystvo_accumulyatora,st_tip_accumulatora,st_zashita_ot_neprednamer_pusk,st_razmer_hoda_platform,st_reguliruemaya_shtanga,st_vodyanoe_ohlajdenie_tip,st_maxglubina_sverleniya,st_mulchirovanie,st_glubina_obrabotki,st_maxdavlenie_atm,st_ugol_naklona,st_rozetka_dla_instrumenta,st_funkciya_viduvaniya,st_emkost_accumulatora,st_zk_display,st_razborniy_val,st_dlina_volny,st_maz_diam_frezi,st_dlina_lenti,st_vozmozhnost_podkl_pilesos,st_vnesen_v_reestr,st_bluetooth,st_princip_raboti,st_obyem_travosbornika,st_material_obrabotki,st_maxobyem_vozduha_kub,st_bachek_dla_soj,st_diam_patrona,st_tip_dvigatelya,st_rabochiy_hod,st_kreplenie_hvost_osnastki,st_shirina_paza,st_vertikalniy_hod_karetki,st_otkluchen_viravnitelya,st_dalnost_izmereniya,st_kolichestvo_nagrev_elem,st_izmeryaemaya_temperatura,st_shirina_obrabotki,st_istochnik_sveta,st_potreb_moshnost,st_tip_viravnivaniya,st_chastota_kolebaniy,st_uroven_shuma,st_hod_spindilya,st_max_krutyashchiy_moment,st_razmer_magnita,st_sistema_ochistki,st_shtativ,st_obem_zalivaemoy_vodi,st_rezba_pod_shtativ,st_prizhimnaya_sila,st_dalnost_izmeren_priemnika,st_superflanec,st_diametr_diska,st_privodnoy_val,st_napravlenie_luchey,st_obyem_maslennogo_baka,st_chislo_stupen_krutmoment,st_adapter_pileudaleniya,st_peredacha_na_pc,st_chislo_oborotov,st_bistrozajim_sds,st_musorosbornik,st_beskluch_zamena_osnast,st_manometr,st_diametr_vsas_shlanga_m,st_tochnost_mmm,st_tip_podachi,st_kolichestvo_frez,st_cvet_lucha,st_glubina_raspil_derevo_mm,st_visota_skashivaniya_max,st_kolichestvo_rezhim_regulir,st_pitaniye,st_temperatura_hraneniya,st_shirina_rezaniya_mm,st_diametr_kameri,st_glubina_raspila_metal,st_maxshirina_propila_45,st_chislo_skorostey,st_skorost_vrasheniya_cepi
CLMA4820L2-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,2,,,,,,,,,,,,,,,,,,36,,2,,,центральная,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,регулируемая,,,,,,,,,,,,нет,,,,Li-lon,,,,,,нет,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,6,аккумулятор,,,,,,,
CLM3820L2-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,2,,,,,,,,,,,,,,,,,,36,,2,,,центральная,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,Li-lon,,,,,,нет,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,аккумулятор,,,,,,,
CLM3820L1-QW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,1,,,,,,,,,,,,,,,,,,36,,2,,,центральная,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,Li-lon,,,,,,нет,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,6,аккумулятор,,,,,,,
LM2000-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,центральная,,,,,,,,,,,,,,,,,,,,,,,38,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,,,,,,,да,,,,,,,,,,,,,,,,50,,,,,электрический,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,,,,,,,,
EMAX34S-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,центральная,,,,,,,,,,,,,,,,,,,,,,,20,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,37,,,,,электрический,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,,,,,,,,
EMAX34I-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,центральная,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,40,,,,,электрический,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,,,,,,,,
EMAX32S-QS,,,,,,,,,,,,,,,,,,,,,асинхронный,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,каждое колесо,,,,,,,,,,,,,,,,,,,,,,,20,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,35,,,,,электрический,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,,,,,,,,
EMAX32-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,осевая,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,35,,,,,электрический,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,,,,,,,,
EMAX42I-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,центральная,,,,,,,,,,,,,,,,,,,,,,,20,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,регулируемая/складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,50,,,,,электрический,,,,,,,,,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,,,,,,,,
EMAX38I-QS,,,,,,,,,,,,,,,,,,,,,асинхронный,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,центральная,,,,,,,,,,,,,,,,,,,,,,,20,,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,складная,,,,,,,,,,,,нет,,,,,,,,,,нет,,,,,,,,,,,,,,,,45,,,,,электрический,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,,,,,,,,
GS2400-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,электрический,,,,,,,,,,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC3655L20-QW,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,36,,2,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC18502PST-QW,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18,,2,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC5455PC-QW,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL700-QW,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,встроенный,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,850,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC1845L20-QW,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18,,2,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL200-QW,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,встроенный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,односторонний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL300-QW,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,встроенный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL700-QW,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,встроенный,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,850,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTC18452PC-QW,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18,,2,,,,,,,,,,,,,,,1300,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,двусторонний,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,Li-lon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
